timestamp,estimatedMass,estimatedApogee,detectedShutdowns,state
8652907832,28.9286232,89.1231003,0,4
8652927836,28.9286232,89.7845612,0,4
8652947824,28.9286232,86.6545029,0,4
8652967816,28.9286232,87.4725266,0,4
8652987824,28.9286232,85.7780304,0,4
8653007820,28.9286232,88.2420578,0,4
8653027824,28.9286232,88.6776428,0,4
8653047688,28.9286232,88.6776428,0,4
8653067688,28.9286232,86.7329178,0,4
8653087688,28.9286232,87.9311981,0,4
8653107688,28.9286232,89.126297,0,4
8653127696,28.9286232,87.1995697,0,4
8653147840,28.9286232,87.9450378,0,4
8653167840,28.9286232,85.9236298,0,4
8653187840,28.9286232,85.8058548,0,4
8653207832,28.9286232,86.9855881,0,4
8653227840,28.9286232,85.3744202,0,4
8653247824,28.9286232,84.995163,0,4
8653267844,28.9286232,84.5255432,0,4
8653287824,28.9286232,83.4149933,0,4
8653307820,28.9286232,81.7406769,0,4
8653327824,28.9286232,81.674469,0,4
8653347688,28.9286232,81.674469,0,4
8653367692,28.9286232,82.1056824,0,4
8653387692,28.9286232,81.7333832,0,4
8653407692,28.9286232,81.5204697,0,4
8653427696,28.9286232,84.794548,0,4
8653447844,28.9286232,84.5428238,0,4
8653467840,28.9286232,84.0505676,0,4
8653487840,28.9286232,83.6597366,0,4
8653507836,28.9286232,86.4072952,0,4
8653527848,28.9286232,86.3713837,0,4
8653547820,28.9286232,85.3670731,0,4
8653567820,28.9286232,85.3493729,0,4
8653587824,28.9286232,85.9707947,0,4
8653607816,28.9286232,84.6782684,0,4
8653627824,28.9286232,84.5535278,0,4
8653647692,28.9286232,84.5535278,0,4
8653667692,28.9286232,85.4161072,0,4
8653687692,28.9286232,84.0854797,0,4
8653707692,28.9286232,83.5882187,0,4
8653727696,28.9286232,84.6509171,0,4
8653747844,28.9286232,83.221489,0,4
8653767844,28.9286232,82.6206284,0,4
8653787848,28.9286232,81.3043442,0,4
8653807840,28.9286232,81.9247971,0,4
8653827848,28.9286232,82.843399,0,4
8653847820,28.9286232,81.8450928,0,4
8653867820,28.9286232,83.6891251,0,4
8653887824,28.9286232,81.6332779,0,4
8653907820,28.9286232,80.7921295,0,4
8653927828,28.9286232,79.7903824,0,4
8653947692,28.9286232,79.7903824,0,4
8653967692,28.9286232,79.6135178,0,4
8653987696,28.9286232,78.3488083,0,4
8654007696,28.9286232,78.3765106,0,4
8654027700,28.9286232,82.8097992,0,4
8654047852,28.9286232,81.2105865,0,4
8654067840,28.9286232,82.8189697,0,4
8654087844,28.9286232,81.1142654,0,4
8654107840,28.9286232,80.9144135,0,4
8654127848,28.9286232,81.7113037,0,4
8654147824,28.9286232,79.9631653,0,4
8654167820,28.9286232,79.5239944,0,4
8654187824,28.9286232,80.3651123,0,4
8654207824,28.9286232,78.9625168,0,4
8654227828,28.9286232,78.8312378,0,4
8654247692,28.9286232,78.8312378,0,4
8654267696,28.9286232,79.3456192,0,4
8654287696,28.9286232,77.6936874,0,4
8654307696,28.9286232,77.4725952,0,4
8654327700,28.9286232,78.605278,0,4
8654347840,28.9286232,76.8858566,0,4
8654367840,28.9286232,77.4877548,0,4
8654387844,28.9286232,76.2416306,0,4
8654407840,28.9286232,76.0216599,0,4
8654427848,28.9286232,76.7124634,0,4
8654447828,28.9286232,75.552475,0,4
8654467824,28.9286232,74.7556534,0,4
8654487824,28.9286232,75.0793076,0,4
8654507824,28.9286232,72.9174347,0,4
